x,y,x,y,x,y,x,y,Name,Genes
8.313373,-17.633018,17.843092,-15.19591,25.913765,-10.909547,10.884745,-14.995262,BCL6-HDAC4 complex (human),HDAC4 BCL6 
8.174693,-17.671387,17.753706,-15.284427,26.002481,-10.860234,10.733498,-15.036057,BCL6-HDAC5 complex (human),HDAC5 BCL6 
8.108805,-17.573591,17.654793,-15.197743,25.905827,-10.845567,10.71861,-14.987475,BCL6-HDAC7 complex (human),BCL6 HDAC7 
5.7925086,-14.046833,15.090765,-14.951146,21.424555,-6.718429,8.266784,-13.260854,Multisubunit ACTR coactivator complex (human),CREBBP NCOA3 KAT2B EP300 
6.8175607,-10.715442,16.469992,-12.15526,20.712881,-4.033223,10.693116,-12.58268,6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex (mouse),ARNT AHR 
-0.32999203,-11.0638,7.2185726,-21.900312,35.35341,-11.512426,1.708482,-16.471266,BLOC-3 (biogenesis of lysosome-related organelles complex 3) (human),HPS1 HPS4 
-2.2272766,-15.455624,7.342823,-21.633093,35.152252,-11.73697,0.73701906,-16.595654,BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),HPS3 HPS5 HPS6 
-0.85924226,-11.112957,7.3021836,-21.843552,35.43717,-11.5267105,1.0876118,-16.087086,MUS81-CDS1 complex (human),CDS1 MUS81 
5.439148,-12.605242,14.0059805,-14.373152,20.105852,-7.064346,7.593819,-11.850938,NCOR complex (human),TBL1XR1 NCOR1 HDAC3 CORO2A GPS2 TBL1X 
-2.2991474,-15.598325,8.241783,-20.74734,33.371098,-10.593656,1.6193535,-19.340065,BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),PLDN CNO SNAPIN BLOC1S1 BLOC1S2 BLOC1S3 DTNBP1 MUTED 
6.747124,-11.250146,16.652016,-12.965029,21.277075,-4.576863,10.679713,-12.801077,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),HSP90AB1 AIP AHR GM5511 
-0.87408143,-11.050151,6.9538417,-21.621199,35.404564,-11.5068865,1.095295,-16.198055,Arp2/3 protein complex (human),ACTR3 ACTR2 LOC653888 TTLL3 LOC729494 ARPC2 ARPC5 
-1.1506866,-13.049252,7.8825307,-20.652607,32.652855,-11.15706,2.9107015,-21.123697,PA28gamma complex (human),PSME3 
-0.15658057,-20.588177,12.499249,-22.05176,32.040825,-10.980686,3.145008,-21.59681,PA28 complex (human),PSME2 PSME1 
-0.07803921,-20.553682,12.4988985,-22.048311,32.06781,-11.024287,3.144593,-21.390312,PA700 complex (human),PSMD11 PSMD10 PSMD13 PSMD12 PSMD14 LOC643668 PSMD9 PSMC6 PSMD7 PSMD8 PSMD5 PSMC5 PSMD6 PSMC2 PSMD3 PSMC3 PSMD4 PSMD1 PSMD2 LOC652826 
